category,brand,condition_score,duration_days,original_price,listed_price,sold_price,is_sold
Fashion,Gucci,4.9,51,3954.46,1748.53,1578.64,1
Books,Oxford,6.0,23,186.31,32.25,31.47,1
Tech,Asus,4.6,34,4565.67,1995.2,1888.11,1
Tech,Samsung,6.9,9,978.24,469.83,474.33,1
Books,Pearson,8.7,11,213.43,47.06,46.68,1
Books,Oxford,5.9,28,188.11,32.25,30.97,1
Fashion,Chanel,4.7,50,3948.73,1851.31,1684.65,1
Books,Pearson,8.3,49,216.99,60.95,55.65,1
Books,Oxford,6.4,30,114.7,21.5,20.57,1
Tech,Sony,8.9,15,535.94,363.97,361.62,1
Fashion,Adidas,7.4,57,789.49,376.08,326.75,1
Tech,Apple,7.6,43,1519.93,1092.23,990.82,1
Tech,Sony,8.9,31,1393.08,1022.51,950.71,1
Books,Penguin,5.5,60,79.93,12.26,10.52,1
Tech,Apple,5.3,27,3531.64,1770.91,1700.81,1
Tech,Apple,7.7,46,3921.65,2781.58,2496.82,1
Fashion,Adidas,7.6,51,782.07,351.55,307.44,1
Books,Penguin,4.8,10,25.58,2.7,2.68,1
Books,Pearson,5.0,40,224.86,43.06,38.98,1
Books,Pearson,6.0,44,155.36,33.22,30.06,1
Tech,Samsung,7.6,35,3751.5,2305.91,2150.92,1
Tech,Dell,8.6,32,1715.72,1094.4,1012.51,1
Tech,Apple,7.1,33,2792.08,1763.86,1657.69,1
Tech,Sony,5.7,42,903.55,502.85,462.87,1
Tech,Apple,5.8,38,5452.86,3200.37,2932.05,1
Books,Penguin,7.6,45,33.66,5.94,5.4,1
Fashion,Adidas,7.4,50,446.46,193.86,174.97,1
Books,Penguin,8.4,67,20.17,4.29,3.64,1
Books,Penguin,7.5,53,58.36,10.88,9.5,1
Books,Penguin,7.4,46,61.39,11.07,10.11,1
Books,Pearson,5.8,19,245.7,46.4,44.23,1
Books,Pearson,8.6,22,96.3,22.68,21.51,1
Books,Oxford,7.6,49,101.65,23.81,21.41,1
Books,Pearson,4.2,56,126.6,23.43,20.24,1
Fashion,Nike,7.2,37,360.03,156.06,144.89,1
Fashion,Adidas,8.3,12,534.53,205.89,202.58,1
Books,Oxford,6.9,5,192.5,32.82,33.47,1
Tech,Asus,7.5,28,4606.08,2691.76,2544.7,1
Tech,Sony,8.6,27,618.97,413.64,393.22,1
Books,Penguin,8.3,57,78.06,15.98,13.97,1
Fashion,Chanel,7.6,57,14827.89,9209.45,8108.25,1
Tech,Samsung,7.4,30,4262.64,2566.03,2425.26,1
Fashion,Chanel,8.8,7,9034.81,4801.73,4752.74,1
Books,Pearson,6.4,29,160.11,31.51,29.81,1
Tech,Samsung,5.8,56,4550.94,2675.75,2308.72,1
Books,Oxford,6.5,39,198.39,40.66,37.35,1
Fashion,Nike,6.7,39,752.69,299.57,277.22,1
Tech,Samsung,9.4,29,3787.66,2502.65,2355.82,1
Books,Pearson,6.0,65,104.72,24.22,20.59,1
Tech,Sony,6.6,23,2230.03,1171.48,1111.19,1
Books,Pearson,6.7,1,75.74,13.91,13.67,1
Tech,Apple,7.7,64,1819.18,1432.04,1234.95,1
Tech,Apple,8.0,43,3649.38,2741.33,2477.63,1
Fashion,Nike,8.7,65,533.39,293.65,253.87,1
Books,Pearson,4.1,24,127.81,19.11,18.35,1
Books,Pearson,7.9,3,75.94,15.05,14.88,1
Books,Oxford,8.3,47,120.35,29.37,26.79,1
Books,Oxford,8.8,1,105.83,20.81,21.15,1
Fashion,Nike,7.9,52,739.49,368.76,323.31,1
Tech,Dell,5.0,52,3947.3,1905.31,1684.96,1
Tech,Samsung,6.5,13,3643.02,1706.48,1648.83,1
Fashion,Gucci,7.9,44,5206.09,3084.69,2793.16,1
Fashion,Adidas,8.5,56,382.79,198.88,175.96,1
Books,Pearson,8.1,21,223.43,49.0,46.35,1
Tech,Asus,8.5,43,3889.57,2562.61,2300.97,1
Fashion,Chanel,6.5,2,8387.38,3584.99,3642.32,1
Tech,Samsung,4.8,17,2724.0,1120.13,1110.53,1
Fashion,Gucci,5.0,62,3196.17,1526.45,1339.23,1
Books,Pearson,6.0,39,182.76,37.08,33.96,1
Fashion,Adidas,4.0,43,631.53,193.25,173.3,1
Tech,Asus,4.7,18,4473.77,1694.66,1649.93,1
Books,Penguin,7.9,26,67.41,11.86,11.45,1
Fashion,Adidas,4.2,27,523.43,144.58,135.95,1
Tech,Asus,7.0,11,3183.25,1613.15,1570.84,1
Tech,Asus,7.3,33,2052.57,1191.57,1128.37,1
Books,Oxford,8.7,34,95.04,22.27,20.78,1
Tech,Dell,4.7,46,1255.35,555.96,511.66,1
Fashion,Nike,7.0,28,653.78,259.52,249.99,1
Fashion,Nike,4.2,10,163.39,39.92,39.41,1
Tech,Asus,4.9,54,4063.04,2070.49,1792.91,1
Books,Penguin,7.2,16,44.67,6.79,6.6,1
Fashion,Gucci,7.1,17,4132.83,1886.54,1830.21,1
Books,Pearson,7.4,17,179.99,37.84,37.55,1
Books,Oxford,4.8,17,160.32,24.2,23.95,1
Fashion,Chanel,4.9,28,5334.99,2216.99,2131.32,1
Books,Pearson,6.2,40,60.04,12.88,11.82,1
Books,Oxford,4.9,12,76.05,11.03,10.68,1
Books,Penguin,7.5,1,65.6,9.14,9.16,1
Books,Penguin,9.4,4,74.55,12.61,12.71,1
Tech,Apple,3.1,37,3263.93,1365.75,1284.14,1
Fashion,Nike,8.4,12,754.25,301.79,294.66,1
Fashion,Chanel,6.3,13,10989.53,4872.95,4742.47,1
Books,Pearson,4.9,36,248.85,45.39,42.53,1
Fashion,Gucci,5.4,46,9607.46,4581.33,4073.28,1
Books,Pearson,9.4,19,147.67,35.98,34.24,1
Fashion,Nike,5.9,33,500.85,183.97,173.83,1
Books,Pearson,7.2,34,145.12,32.0,29.95,1
Fashion,Chanel,4.2,2,4348.39,1424.76,1401.95,1
Fashion,Nike,7.0,44,361.85,160.18,148.1,1
Books,Penguin,3.7,11,76.62,6.99,6.84,1
Tech,Apple,6.3,12,5137.44,2631.86,2599.54,1
Books,Oxford,5.8,34,176.0,32.32,30.26,1
Tech,Dell,3.7,54,3093.59,1222.84,1087.38,1
Books,Penguin,5.9,46,51.95,8.23,7.53,1
Fashion,Chanel,7.8,31,2958.45,1765.9,1657.51,1
Books,Pearson,4.5,24,72.48,12.08,11.5,1
Books,Oxford,5.8,41,114.47,21.9,19.84,1
Tech,Asus,8.0,7,3971.8,2084.88,2073.12,1
Books,Pearson,3.2,23,181.65,23.11,22.55,1
Books,Penguin,6.4,18,56.56,8.05,7.69,1
Tech,Asus,7.9,22,1382.37,760.13,740.45,1
Books,Penguin,9.2,59,72.45,15.88,13.81,1
Fashion,Gucci,7.2,2,4854.24,2159.02,2120.64,1
Fashion,Adidas,4.7,42,370.2,123.83,111.37,1
Books,Pearson,5.8,45,236.45,49.98,44.36,1
Fashion,Gucci,7.6,5,8756.4,4047.03,4026.2,1
Fashion,Adidas,4.4,47,329.3,107.75,98.41,1
Fashion,Adidas,7.3,28,281.77,113.87,107.49,1
Books,Pearson,5.9,56,123.41,27.93,24.04,1
Tech,Sony,7.4,42,1632.35,1099.19,1004.52,1
Books,Pearson,9.3,5,169.04,38.04,38.05,1
Tech,Asus,7.0,17,2265.1,1176.02,1128.64,1
Tech,Samsung,3.5,39,1560.23,611.84,563.08,1
Books,Penguin,6.0,18,64.05,8.42,8.08,1
Tech,Apple,7.1,48,3565.24,2452.95,2213.28,1
Books,Penguin,5.3,18,38.89,4.88,4.72,1
Tech,Asus,8.0,44,2321.14,1461.09,1324.37,1
Fashion,Adidas,5.7,25,357.43,116.61,110.9,1
Fashion,Gucci,6.4,60,2205.6,1226.14,1074.12,1
Tech,Asus,6.3,46,3103.63,1743.91,1602.19,1
Fashion,Gucci,7.7,18,7238.97,3460.3,3346.66,1
Tech,Samsung,6.2,21,1011.05,516.19,502.47,1
Tech,Sony,8.8,60,2486.17,1982.12,1730.35,1
Books,Pearson,7.8,23,58.62,13.08,12.34,1
Fashion,Gucci,8.3,64,4063.58,2690.21,2351.3,1
Tech,Asus,7.8,48,4582.12,3098.62,2811.6,1
Books,Pearson,7.9,1,142.63,28.87,29.12,1
Tech,Asus,5.7,44,3208.57,1689.93,1526.51,1
Tech,Samsung,5.7,23,962.14,446.0,430.53,1
Books,Pearson,7.5,37,243.31,60.08,55.86,1
Tech,Dell,4.4,34,2936.88,1239.96,1152.15,1
Tech,Apple,4.6,55,3702.5,2091.96,1813.65,1
Books,Oxford,8.3,60,65.94,17.03,15.01,1
Books,Oxford,7.7,27,72.73,15.73,15.22,1
Books,Pearson,5.8,20,164.64,28.93,27.82,1
Fashion,Chanel,4.1,34,10496.34,4242.5,3998.98,1
Fashion,Nike,5.8,54,171.66,72.18,63.8,1
Books,Oxford,7.9,16,177.56,36.11,35.91,1
Books,Pearson,8.0,12,104.82,23.07,22.58,1
Tech,Sony,8.5,25,1851.91,1200.71,1129.31,1
Fashion,Gucci,8.2,16,4170.32,2209.01,2161.43,1
Fashion,Nike,7.1,31,792.73,334.23,309.44,1
Fashion,Nike,3.4,54,152.43,46.53,40.43,1
Tech,Dell,8.4,53,4084.83,2867.79,2548.65,1
Fashion,Adidas,4.3,29,274.63,76.47,72.77,1
Fashion,Gucci,8.7,12,3161.28,1631.55,1622.08,1
Fashion,Gucci,5.9,59,9625.97,4881.53,4301.7,1
Fashion,Gucci,8.7,10,6771.3,3620.42,3536.26,1
Books,Pearson,7.3,38,107.01,26.01,24.1,1
Fashion,Adidas,7.9,43,207.58,93.13,84.3,1
Fashion,Nike,6.5,1,632.4,202.4,201.84,1
Fashion,Chanel,8.7,21,6393.87,3565.42,3498.16,1
Fashion,Gucci,4.7,59,7261.48,3346.82,2890.33,1
Fashion,Gucci,7.3,1,5402.32,2410.44,2390.0,1
Books,Pearson,8.6,58,114.6,32.8,28.17,1
Fashion,Nike,7.2,29,466.26,195.36,184.46,1
Tech,Dell,5.6,40,2258.47,1097.61,991.99,1
Books,Penguin,7.5,31,65.52,11.02,10.47,1
Tech,Apple,6.6,56,4143.35,2797.23,2501.16,1
Books,Oxford,6.8,50,79.25,17.71,15.79,1
Books,Penguin,4.1,52,33.25,4.41,3.91,1
Tech,Asus,7.8,42,1167.95,750.74,694.23,1
Fashion,Gucci,7.2,61,9518.05,5563.49,4868.27,1
Books,Penguin,7.1,16,58.16,8.54,8.41,1
Books,Oxford,7.9,37,77.43,17.3,15.97,1
Tech,Apple,4.9,15,3338.89,1556.71,1546.66,1
Tech,Apple,8.5,18,2096.29,1352.89,1290.91,1
Books,Penguin,9.6,18,67.24,12.42,12.05,1
Tech,Apple,7.9,57,4712.35,3723.96,3323.58,1
Fashion,Adidas,8.5,29,514.92,220.36,210.08,1
Tech,Apple,6.2,46,3212.61,2062.27,1833.08,1
Tech,Sony,6.8,57,1008.4,687.37,608.19,1
Books,Oxford,6.8,29,74.23,14.92,14.25,1
Fashion,Gucci,6.8,51,6259.49,3545.17,3145.08,1
Tech,Sony,7.2,42,2174.18,1385.98,1280.14,1
Fashion,Adidas,7.0,27,743.62,296.93,281.69,1
Tech,Samsung,4.8,6,2689.12,1056.98,1069.08,1
Books,Pearson,8.5,5,244.94,53.9,54.91,1
Fashion,Nike,6.9,50,336.22,151.37,137.12,1
Tech,Samsung,6.3,44,3682.34,2178.16,2000.87,1
Fashion,Nike,7.9,56,232.52,112.36,100.34,1
Tech,Dell,6.5,27,4160.94,2141.64,2075.04,1
Tech,Sony,8.2,49,1862.95,1347.28,1194.81,1
Books,Pearson,8.9,27,104.1,26.22,24.46,1
Fashion,Chanel,5.8,8,6013.44,2462.19,2452.39,1
Books,Pearson,7.9,54,112.42,29.55,25.64,1
Tech,Samsung,6.2,28,3751.91,2007.62,1919.2,1
Books,Oxford,7.5,56,193.14,46.24,39.84,1
Fashion,Adidas,6.2,52,483.93,202.45,179.48,1
Books,Oxford,6.0,18,165.57,28.91,27.64,1
Tech,Apple,8.6,8,4079.72,2602.87,2647.72,1
Books,Oxford,9.2,34,102.6,24.27,22.5,1
Fashion,Adidas,6.2,34,505.38,193.85,178.36,1
Books,Oxford,4.5,16,130.58,18.68,17.89,1
Tech,Samsung,4.4,46,911.93,433.85,391.47,1
Books,Oxford,4.1,16,189.48,24.91,24.82,1
Fashion,Gucci,4.0,24,1573.75,533.92,515.45,1
Tech,Samsung,9.0,33,1630.8,1134.94,1039.97,1
Tech,Sony,7.6,61,586.04,422.46,368.82,1
Books,Penguin,9.8,1,21.41,3.61,3.56,1
Tech,Samsung,7.5,29,2368.15,1333.79,1254.14,1
Tech,Sony,8.6,31,1396.64,1016.21,967.93,1
Fashion,Adidas,8.1,33,472.97,207.16,192.02,1
Books,Pearson,8.6,23,158.86,40.2,38.29,1
Tech,Asus,8.8,18,1779.91,1121.65,1080.48,1
Books,Oxford,6.1,51,57.3,12.03,10.82,1
Tech,Sony,7.4,31,1599.93,994.88,937.14,1
Tech,Sony,9.0,16,1348.21,916.5,888.85,1
Books,Penguin,6.8,31,24.34,3.78,3.57,1
Books,Oxford,7.4,61,162.86,39.62,34.48,1
Tech,Asus,8.0,63,4865.6,3466.73,2928.53,1
Books,Penguin,7.1,6,66.17,9.37,9.37,1
Books,Penguin,8.3,11,47.28,7.83,7.73,1
Tech,Dell,5.7,55,4365.72,2361.58,2116.77,1
Fashion,Nike,7.4,29,614.67,243.86,227.97,1
Books,Oxford,4.1,42,156.18,23.66,21.87,1
Fashion,Adidas,7.3,21,451.49,169.06,160.81,1
Tech,Sony,6.6,50,1691.18,1120.83,993.56,1
Tech,Asus,7.8,34,2609.55,1643.12,1524.66,1
Fashion,Gucci,3.6,40,6574.51,2383.51,2187.09,1
Tech,Sony,8.3,17,1645.49,1072.39,1045.14,1
Books,Penguin,8.3,58,37.59,7.76,6.84,1
Fashion,Chanel,7.0,34,2576.81,1402.56,1321.31,1
Tech,Samsung,5.7,4,2382.77,1034.38,1025.42,1
Books,Penguin,7.2,49,38.48,6.8,6.05,1
Fashion,Chanel,8.8,20,14698.98,8619.68,8386.75,1
Tech,Asus,8.8,52,4859.16,3439.21,3014.16,1
Fashion,Nike,5.2,32,682.6,229.41,213.82,1
Fashion,Chanel,8.0,52,14473.58,9811.46,8868.34,1
Books,Oxford,7.5,6,158.38,28.62,28.88,1
Tech,Dell,4.7,40,1785.63,803.49,733.48,1
Fashion,Chanel,6.6,16,3081.78,1458.86,1405.14,1
Tech,Sony,8.5,59,2139.54,1739.19,1498.34,1
Fashion,Chanel,8.2,45,4262.04,2764.0,2544.74,1
Fashion,Gucci,5.9,28,1879.74,840.51,801.09,1
Books,Penguin,7.9,15,35.03,5.42,5.24,1
Books,Oxford,6.9,1,160.3,26.35,26.82,1
Books,Oxford,6.8,2,125.88,21.21,21.56,1
Books,Pearson,5.6,25,80.92,14.33,13.71,1
Tech,Apple,5.8,18,5379.65,2706.49,2645.24,1
Books,Oxford,4.0,27,55.24,7.61,7.24,1
Books,Oxford,8.0,8,119.59,23.17,23.46,1
Books,Pearson,6.4,67,146.31,35.16,29.4,1
Fashion,Chanel,4.2,19,2788.45,1033.75,1002.03,1
Tech,Samsung,6.7,17,3336.19,1750.9,1678.94,1
Fashion,Chanel,5.6,1,3132.13,1197.08,1193.42,1
Books,Oxford,6.4,20,62.92,11.61,11.45,1
Tech,Dell,9.2,10,2479.63,1459.8,1434.87,1
Fashion,Nike,8.0,28,744.83,332.54,311.65,1
Books,Pearson,4.3,39,115.6,19.75,18.33,1
Tech,Asus,6.4,33,3194.54,1687.43,1555.29,1
Books,Pearson,8.3,56,142.13,40.16,34.8,1
Books,Oxford,6.7,42,197.52,39.29,36.34,1
Fashion,Adidas,8.8,1,171.05,66.05,66.03,1
Books,Oxford,5.5,61,181.55,36.25,31.19,1
Tech,Sony,6.0,39,520.23,308.47,285.54,1
Fashion,Gucci,3.8,48,2836.27,1071.4,954.02,1
Fashion,Gucci,7.6,14,1640.9,789.78,768.82,1
Fashion,Nike,6.8,19,389.31,145.59,138.81,1
Tech,Apple,6.9,54,2889.91,2022.71,1781.26,1
Books,Oxford,7.3,15,76.08,14.53,14.17,1
Tech,Apple,9.3,13,4553.94,3023.6,2920.03,1
Fashion,Nike,6.2,58,726.91,303.36,262.02,1
Tech,Asus,8.0,28,1712.88,984.09,919.56,1
Books,Pearson,6.5,46,104.25,24.31,22.16,1
Tech,Samsung,8.2,23,3352.07,1945.72,1866.28,1
Books,Penguin,9.2,24,64.03,12.25,11.85,1
Books,Penguin,6.7,39,53.67,8.41,7.62,1
Fashion,Nike,7.7,31,790.43,328.46,308.3,1
Books,Oxford,9.7,64,144.07,41.64,35.77,1
Fashion,Chanel,5.7,42,4933.05,2502.59,2275.92,1
Fashion,Chanel,4.5,25,1814.19,688.78,651.72,1
Fashion,Nike,5.6,30,410.35,148.75,140.35,1
Tech,Sony,4.7,34,751.95,365.17,340.43,1
Books,Penguin,7.9,17,67.41,11.22,11.02,1
Books,Oxford,7.3,1,61.2,10.81,10.78,1
Fashion,Gucci,8.3,23,6880.61,3562.82,3482.51,1
Tech,Apple,4.9,37,2295.88,1156.55,1075.11,1
Fashion,Gucci,8.9,62,2032.29,1435.07,1240.26,1
Tech,Asus,6.9,15,1339.17,688.71,674.6,1
Tech,Asus,7.5,17,2569.37,1411.06,1399.59,1
Tech,Apple,3.9,6,2673.67,1033.26,1037.35,1
Tech,Sony,7.5,38,1653.42,1066.56,997.71,1
Fashion,Gucci,8.0,8,6811.93,3197.93,3235.38,1
Fashion,Adidas,8.1,40,219.99,96.78,88.6,1
Tech,Sony,7.9,52,1042.82,781.39,685.58,1
Tech,Apple,7.8,18,4452.17,2912.38,2860.28,1
Tech,Samsung,8.4,16,1940.08,1119.7,1089.73,1
Books,Penguin,5.0,32,25.36,3.23,2.99,1
Fashion,Adidas,5.7,19,444.08,137.77,134.44,1
Books,Oxford,6.2,65,88.03,19.04,16.43,1
Tech,Sony,5.7,29,2375.43,1212.41,1145.7,1
Tech,Asus,7.0,11,4767.79,2369.93,2379.19,1
Tech,Dell,8.4,18,3130.22,1680.9,1647.84,1
Tech,Apple,6.2,22,2721.99,1539.06,1491.29,1
Books,Oxford,6.8,41,50.94,10.17,9.38,1
Tech,Sony,6.4,16,473.91,234.01,230.82,1
Tech,Samsung,6.4,48,1161.44,688.56,625.94,1
Tech,Dell,8.2,28,3641.23,2186.93,2069.15,1
Fashion,Nike,5.0,33,469.73,148.9,141.66,1
Books,Penguin,7.6,46,69.7,13.17,11.79,1
Tech,Apple,7.6,60,3408.96,2640.57,2316.64,1
Tech,Apple,6.9,54,2968.1,2173.73,1951.59,1
Books,Pearson,8.2,55,79.31,21.32,18.52,1
Fashion,Adidas,3.3,2,788.92,170.25,171.64,1
Fashion,Adidas,7.0,20,700.98,255.49,249.72,1
Tech,Dell,6.7,39,3033.03,1600.01,1448.77,1
Books,Pearson,6.7,15,142.81,26.29,25.72,1
Fashion,Gucci,6.4,51,6867.24,3705.83,3337.13,1
Books,Penguin,7.9,23,23.07,3.71,3.64,1
Tech,Samsung,8.9,24,4641.67,3078.76,3000.75,1
Books,Pearson,6.4,34,58.58,12.8,12.17,1
Books,Pearson,5.7,17,142.8,26.3,25.43,1
Books,Oxford,7.2,41,41.85,9.33,8.7,1
Tech,Asus,3.9,60,4277.91,1889.18,1639.5,1
Books,Penguin,7.5,2,68.27,9.59,9.55,1
Books,Pearson,5.8,26,217.16,40.37,38.99,1
Books,Pearson,8.5,31,211.34,51.38,48.97,1
Books,Pearson,6.4,27,188.43,39.3,36.97,1
Tech,Dell,6.5,19,2356.85,1148.8,1122.3,1
Books,Oxford,8.8,21,175.76,39.24,38.61,1
Books,Pearson,3.9,46,168.32,28.71,26.31,1
Books,Pearson,8.8,63,98.91,29.22,24.88,1
Fashion,Adidas,5.6,50,312.1,112.6,99.89,1
Books,Oxford,5.7,15,119.77,18.47,18.36,1
Tech,Samsung,8.8,1,1902.99,1061.07,1062.47,1
Tech,Asus,9.7,60,2499.32,2023.88,1735.91,1
Books,Pearson,8.7,35,191.5,48.73,45.35,1
Books,Oxford,7.1,28,122.74,23.75,22.35,1
Fashion,Chanel,5.0,41,11929.63,5343.85,4833.23,1
Fashion,Nike,8.9,20,361.37,167.67,159.01,1
Fashion,Nike,7.9,65,577.34,293.14,251.91,1
Fashion,Adidas,5.2,19,469.87,140.75,135.85,1
Books,Penguin,7.3,43,78.19,13.99,12.67,1
Books,Oxford,8.9,49,63.13,16.99,15.24,1
Fashion,Nike,6.6,62,343.21,152.32,133.71,1
Fashion,Gucci,6.2,58,3373.2,1841.25,1575.35,1
Books,Penguin,8.5,33,49.81,8.98,8.28,1
Tech,Sony,8.1,1,1164.56,651.77,664.14,1
Tech,Dell,8.2,17,3856.7,2071.61,2010.59,1
Books,Penguin,3.8,35,57.54,6.34,5.79,1
Tech,Dell,4.2,33,2806.02,1134.05,1041.46,1
Fashion,Adidas,9.3,25,536.37,237.83,225.72,1
Tech,Apple,7.5,1,1557.72,894.08,900.11,1
Fashion,Adidas,5.0,3,480.25,126.67,126.6,1
Tech,Dell,9.4,57,1787.1,1328.46,1159.05,1
Fashion,Adidas,7.3,9,756.15,263.14,265.14,1
Books,Penguin,8.6,36,24.0,4.47,4.19,1
Fashion,Chanel,6.9,52,3773.53,2284.2,2026.5,1
Books,Penguin,5.4,15,58.86,7.24,7.19,1
Fashion,Gucci,8.1,57,6318.02,4179.95,3650.23,1
Tech,Samsung,5.9,4,2427.88,1023.04,1042.66,1
Books,Pearson,9.4,20,136.18,33.57,32.29,1
Books,Pearson,6.7,31,211.47,43.35,41.06,1
Fashion,Gucci,7.5,48,7790.7,4492.04,4072.07,1
Books,Oxford,9.8,59,77.16,22.67,20.02,1
Books,Oxford,7.1,4,126.9,22.05,21.85,1
Tech,Sony,6.3,55,2365.53,1482.7,1329.2,1
Fashion,Gucci,8.0,25,4549.45,2333.82,2226.53,1
Books,Penguin,5.8,57,27.47,4.36,3.79,1
Fashion,Adidas,9.1,39,446.42,224.63,208.17,1
Books,Pearson,7.0,2,67.88,12.92,12.92,1
Tech,Apple,9.4,44,5750.13,4778.7,4401.87,1
Fashion,Chanel,8.6,32,9719.76,5795.04,5397.21,1
Tech,Dell,6.6,44,2277.12,1298.55,1195.38,1
Tech,Sony,8.9,16,494.94,334.77,323.14,1
Fashion,Nike,7.9,40,170.93,79.68,71.69,1
Fashion,Chanel,8.1,30,13964.0,8496.17,7889.08,1
Books,Oxford,6.2,43,137.74,26.24,23.88,1
Books,Pearson,9.2,22,116.99,28.42,27.02,1
Books,Pearson,7.2,12,94.04,19.61,19.73,1
Books,Penguin,7.2,35,46.37,7.93,7.23,1
Fashion,Nike,6.1,39,562.49,210.64,195.03,1
Fashion,Chanel,7.4,37,3351.23,1938.92,1778.48,1
Tech,Asus,6.6,58,1912.52,1150.47,984.72,1
Tech,Asus,4.5,11,1507.39,587.54,578.9,1
Fashion,Nike,9.1,17,170.45,76.73,74.02,1
Fashion,Chanel,8.0,57,5540.63,3660.78,3218.4,1
Tech,Samsung,4.0,1,4931.42,1681.44,1684.62,1
Books,Pearson,5.0,49,158.94,30.16,26.98,1
Books,Oxford,7.9,67,160.24,40.47,33.71,1
Fashion,Chanel,8.8,34,1759.82,1093.55,1026.78,1
Books,Oxford,5.3,4,63.56,9.34,9.32,1
Books,Pearson,9.1,50,161.71,46.35,41.01,1
Books,Pearson,7.4,5,149.19,28.36,28.33,1
Books,Pearson,5.5,27,205.84,38.35,36.27,1
Books,Oxford,5.7,11,169.03,25.55,25.59,1
Fashion,Gucci,6.5,35,1221.55,590.83,539.26,1
Fashion,Nike,4.5,56,570.63,200.86,174.24,1
Tech,Samsung,8.3,15,1853.37,1042.34,1027.64,1
Fashion,Gucci,7.4,2,6156.11,2774.73,2767.26,1
Tech,Dell,5.0,14,1242.8,492.86,492.95,1
